id,total_hotel
2,30
11,36
12,1
14,5
25,138
31,13
32,15
34,132
42,2
46,8
50,152
55,15
57,733
58,65
59,26
60,71
61,86
69,7
75,23
77,20
83,22
88,12
90,16
92,15
93,11
101,10
104,69
107,30
112,7
113,9
115,18
118,145
123,16
127,16
132,12
143,11
144,112
147,58
149,15
158,9
160,72
163,5
164,13
165,16
166,4
170,32
175,18
177,5
179,19
188,18
192,1
193,167
196,17
197,17
198,12
200,8
201,22
203,13
210,12
211,28
217,229
219,105
220,16
224,22
225,19
228,13
229,24
231,48
232,37
233,1942
234,14
235,136
236,15
238,19
241,32
243,20
244,25
246,11
248,15
249,115
252,35
255,11
259,80
261,10
262,491
263,10
265,115
266,16
271,20
274,18
277,15
280,12
283,5
284,1
292,11
294,14
296,27
300,43
302,29
306,12
310,11
312,26
315,35
318,557
319,52
322,6
326,37
340,13
342,45
345,18
348,12
359,35
360,12
361,25
364,41
367,41
373,5
383,40
386,34
387,18
389,113
391,64
398,126
400,7
403,10
405,11
406,72
407,46
412,29
415,120
422,43
428,21
441,19
451,17
453,9
457,10
458,42
460,97
462,52
464,17
466,44
469,28
470,37
471,28
475,11
477,18
483,4
490,20
493,31
504,71
516,57
517,52
518,13
520,3
521,29
523,1
525,20
530,6
535,9
539,22
547,14
549,65
557,24
565,18
567,45
570,18
571,184
573,55
576,103
577,10
583,19
585,29
588,34
589,17
592,21
593,101
596,9
599,19
602,104
603,19
608,11
612,29
614,12
615,90
623,5
626,45
627,17
632,20
633,24
634,12
640,19
641,40
645,125
646,18
647,1895
649,21
657,21
661,23
662,54
663,3
664,283
670,347
671,25
672,15
674,39
675,33
676,8
677,2
681,4
683,28
684,31
685,10
698,32
701,16
707,239
708,21
716,170
719,2
721,16
723,18
724,71
734,75
739,38
746,12
751,63
752,5
753,15
754,4
756,400
764,23
765,96
770,49
771,19
772,5
773,65
775,4
777,24
782,21
787,8
788,11
799,33
800,35
804,43
812,10
814,20
821,88
827,201
829,16
837,4
841,15
846,19
855,14
860,22
861,6
863,19
864,5
867,28
868,29
883,9
885,12
889,90
897,17
899,16
902,32
904,17
907,53
908,12
